ref_conv,gen_conv
{'scores': [4.438913592252902e-08]},{'scores': [3.3170871915899625e-07]}
{'scores': [4.2527659388724715e-05]},{'scores': [1.4877900866849814e-05]}
{'scores': [0.005730599630624056]},{'scores': [0.0034285106230527163]}
{'scores': [0.0001580941170686856]},{'scores': [0.005632671061903238]}
{'scores': [0.017760364338755608]},{'scores': [0.08463123440742493]}
{'scores': [0.011127044446766376]},{'scores': [0.006716522388160229]}
{'scores': [1.7690135791781358e-06]},{'scores': [9.098459122469649e-05]}
{'scores': [2.7732374618949507e-08]},{'scores': [2.851159308647766e-07]}
{'scores': [0.00048419670201838017]},{'scores': [0.001084077637642622]}
{'scores': [0.0004942339728586376]},{'scores': [0.00011616099072853103]}
{'scores': [0.003457732265815139]},{'scores': [9.238650090992451e-05]}
{'scores': [0.0008106244495138526]},{'scores': [0.0001708605414023623]}
{'scores': [0.24021567404270172]},{'scores': [0.18086858093738556]}
{'scores': [2.810346632031724e-05]},{'scores': [8.410857117269188e-05]}
{'scores': [1.078395052900305e-05]},{'scores': [5.8332557273388375e-06]}
{'scores': [0.0005350734572857618]},{'scores': [0.00027860014233738184]}
{'scores': [0.0011850879527628422]},{'scores': [1.1672152595565422e-06]}
{'scores': [0.04661727696657181]},{'scores': [0.10211191326379776]}
{'scores': [0.0035830438137054443]},{'scores': [0.02926274575293064]}
{'scores': [0.027226945385336876]},{'scores': [0.007946489378809929]}
{'scores': [0.010098987258970737]},{'scores': [0.005713037680834532]}
{'scores': [0.00019591422460507601]},{'scores': [1.7568196199135855e-05]}
{'scores': [0.0873076319694519]},{'scores': [0.05831129103899002]}
{'scores': [0.008592684753239155]},{'scores': [0.00677986117079854]}
{'scores': [0.053616538643836975]},{'scores': [0.12245797365903854]}
{'scores': [0.012722540646791458]},{'scores': [0.013465766794979572]}
{'scores': [0.006531750317662954]},{'scores': [0.024653678759932518]}
{'scores': [8.678924496052787e-05]},{'scores': [0.0010727900080382824]}
{'scores': [0.019480638206005096]},{'scores': [0.019290722906589508]}
{'scores': [0.009639449417591095]},{'scores': [0.004037853330373764]}
{'scores': [3.6575654576154193e-06]},{'scores': [9.417070032213815e-06]}
{'scores': [0.04122597724199295]},{'scores': [0.030167656019330025]}
{'scores': [0.0021213586442172527]},{'scores': [0.0001039324706653133]}
{'scores': [0.18267621099948883]},{'scores': [0.21551233530044556]}
{'scores': [1.6247339829078555e-07]},{'scores': [2.5321278940282355e-07]}
{'scores': [0.025073863565921783]},{'scores': [0.009046805091202259]}
